SAL_CODE_2021,SAL_NAME_2021
11254,Diamond Head
11255,Diehard
11256,Diggers Camp
11257,Dignams Creek
11258,Dilkoon
11259,Dilpurra
11260,Dingo Forest
11261,Dinoga
11262,Dirnaseer
11263,Dirty Creek
11264,Dobies Bight
11265,Doctor George Mountain
11266,Doctors Gap
11267,Dog Rocks
11268,Dolans Bay
11269,Dolls Point
11270,Dollys Flat
11271,Dolphin Point
11272,Dombarton
11273,Donald Creek
11274,Dondingalong
11275,Doon Doon
11276,Doonbah
11277,Doonside
11278,Dooralong
11279,Dora Creek
11280,Dorrigo
11281,Dorrigo Mountain
11282,Dorroughby
11283,Double Bay
11284,Doubtful Creek
11285,Douglas Park
11286,Dover Heights
11287,Downside
11288,Doyalson
11289,Doyalson North
11290,Doyles Creek
11291,Doyles River
11292,Drake
11293,Drake Village
11294,Drildool
11295,Dripstone
11296,Drummoyne
11297,Dry Creek
11298,Dry Plain
11299,Dubbo
11300,Duck Creek
11301,Duckenfield
11302,Duckmaloi
11303,Dudley
11304,Duffys Forest
11305,Dulguigan
11306,Dulwich Hill
11307,Dum Dum
11308,Dumaresq
11309,Dumaresq Island
11310,Dumaresq Valley
11311,Dumbudgery
11312,Dunbible
11313,Dunbogan
11314,Duncans Creek
11315,Dundas
11316,Dundas Valley
11317,Dundee
11318,Dundurrabin
11319,Dunedoo
11320,Dungarubba
11321,Dungay
11322,Dungeree
11323,Dungog
11324,Dungowan
11325,Dunkeld
11326,Dunmore
11327,Dunolly
11328,Dunoon
11329,Duns Creek
11330,Dunville Loop
11331,Dural (Hornsby - NSW)
11332,Dural (Singleton - NSW)
11333,Duramana
11334,Duranbah
11335,Duri
11336,Duroby
11337,Durran Durra
11338,Durras North
11339,Durren Durren
11340,Duval
11341,Dyers Crossing
11342,Dyraaba
11343,Dyrring
11344,Eagle Vale
11345,Eagleton
11346,Earlwood
11347,East Albury
11348,East Ballina
11349,East Branxton
11350,East Coraki
11351,East Corrimal
11352,East Gosford
11353,East Gresford
11354,East Hills
11355,East Jindabyne
11356,East Kangaloon
11357,East Kempsey
11358,East Killara
11359,East Kurrajong
11360,East Lindfield
11361,East Lismore
11362,East Lynne
11363,East Maitland
11364,East Ryde
11365,East Seaham
11366,East Tamworth
11367,East Wagga Wagga
11368,East Wardell
11369,Eastern Creek
11370,Eastgardens
11371,Eastlakes
11372,Eastwood
11373,Eatonsville
11374,Ebenezer
11375,Ebor
11376,Eccleston
11377,Edderton
11378,Eden
11379,Eden Creek
11380,Edensor Park
11381,Edenville
11382,Edgecliff
11383,Edgeroi
11384,Edgeworth
11385,Edith
11386,Edmondson Park
11387,Edrom
11388,Eenaweena
11389,Eglinton
11390,Eighteen Mile
11391,Elands
11392,Elanora Heights
11393,Elcombe
11394,Elderslie (Camden - NSW)
11395,Elderslie (Singleton - NSW)
11396,Eleebana
11397,Elermore Vale
11398,Elizabeth Bay
11399,Elizabeth Beach
11400,Elizabeth Hills
11401,Ellalong
11402,Elland
11403,Ellangowan
11404,Ellenborough
11405,Ellerslie (Snowy Valleys - NSW)
11406,Ellerslie (Wentworth - NSW)
11407,Ellerston
11408,Ellis Lane
11409,Elong Elong
11410,Elrington
11411,Elsmore
11412,Eltham
11413,Elvina Bay
11414,Emerald Beach
